Date,Open,High,Low,Close,Volume
2025-09-04,299.9069,302.1354,298.1542,301.0243,18616989
2025-09-05,300.2039,301.0024,298.8983,300.5687,11320668
2025-09-08,301.8091,302.7474,300.8175,302.1101,22060354
2025-09-09,302.9515,305.096,301.6324,304.2984,69647678
2025-09-10,304.5928,308.5259,304.3984,305.7095,50498059
2025-09-11,306.7106,310.2378,304.6614,307.3002,24567233
2025-09-12,300.6117,302.632,298.9354,300.1279,69015949
2025-09-15,296.7832,297.9117,293.0005,295.8186,20155194
2025-09-16,299.1638,300.2342,296.7115,298.8761,47129633
2025-09-17,300.6153,302.4059,299.2382,301.3762,60461787
2025-09-18,302.698,305.5264,302.5254,302.698,12206700
2025-09-19,301.4272,303.3787,296.3358,298.9681,24243143
2025-09-22,295.5954,295.8023,294.2926,294.9337,30117828
2025-09-23,297.5426,299.1526,296.1181,297.6708,52982056
2025-09-24,297.2721,297.461,295.0471,297.2541,64864849
2025-09-25,303.9765,305.3478,300.1471,301.7567,63094617
2025-09-26,302.7528,303.0105,299.8032,302.7412,59470863
2025-09-29,303.7849,306.2848,302.6529,304.212,32348276
2025-09-30,309.5675,311.7753,307.0798,310.8062,55132242
2025-10-01,313.0346,316.7556,310.9951,314.5796,42657406
2025-10-02,312.0129,313.467,309.9805,311.9088,45292770
2025-10-03,310.1996,312.6894,309.8647,312.5171,68413296
2025-10-06,310.3649,314.0174,308.0836,312.3639,69587666
2025-10-07,312.4334,315.645,311.9564,313.3647,54877041
2025-10-08,316.5921,318.6037,314.3883,316.7692,65379693
2025-10-09,314.6937,314.7511,314.1966,314.4795,65103235
2025-10-10,312.6105,316.3898,311.1627,313.8761,16242449
2025-10-13,309.1947,312.6092,306.3712,309.547,69935601
2025-10-14,309.2532,313.3911,306.5195,310.589,50460296
2025-10-15,312.9741,313.5174,310.5396,312.9877,60578532
2025-10-16,312.8772,315.6159,311.4099,312.1843,34516303
2025-10-17,309.7877,312.1362,307.9284,309.5801,26864024
2025-10-20,312.3829,312.4437,310.7305,312.3789,37478001
2025-10-21,313.3752,316.1635,311.272,315.7254,38942200
2025-10-22,316.1116,318.954,315.328,318.5078,14653381
2025-10-23,319.8174,321.1989,318.8072,320.1173,54076184
2025-10-24,316.5967,322.0456,314.223,319.2551,67525690
2025-10-27,317.8354,321.1261,317.0029,319.1126,64665570
2025-10-28,314.6044,316.2942,313.9439,314.8553,66537878
2025-10-29,317.0185,317.9819,316.4336,317.5645,13430630
2025-10-30,316.7759,319.0874,314.0837,315.4999,18657699
2025-10-31,309.5536,311.7706,306.6689,308.0182,19478204
2025-11-03,312.8392,316.7262,310.568,314.2731,23842868
2025-11-04,320.6521,323.3942,317.3893,318.5497,64514060
2025-11-05,326.6444,329.3986,323.0049,325.1736,67380921
2025-11-06,325.3905,326.809,322.7453,326.2598,17916385
2025-11-07,320.4334,325.1376,317.4948,322.3846,64229190
2025-11-10,320.2843,321.8727,318.7497,320.3833,63066685
2025-11-11,328.3437,329.5215,325.2693,327.5419,66568819
2025-11-12,325.7258,331.1561,324.8862,327.9133,67852589
2025-11-13,329.3786,331.0386,328.4695,328.5317,20197071
2025-11-14,326.0585,327.6873,324.3666,325.6772,17343702
2025-11-17,322.3173,325.6129,319.9985,323.8732,64176136
2025-11-18,316.4771,318.6908,314.2558,316.838,67063831
2025-11-19,311.3945,312.9239,310.4689,312.852,52319161
2025-11-20,311.999,314.5611,310.1057,311.9699,58547811
2025-11-21,316.638,319.3445,315.4466,315.8269,45021341
2025-11-24,317.5216,319.1305,316.8249,318.5009,60272052
2025-11-25,323.3435,326.3338,322.4388,323.0891,25305770
2025-11-26,321.8888,322.4911,321.5339,321.8655,28938245
2025-11-27,321.6247,322.674,319.2317,320.4879,63015036
2025-11-28,327.0792,328.0946,324.8116,326.3375,59390425
2025-12-01,332.4515,336.9659,329.3182,334.3702,69548540
2025-12-02,330.5504,333.376,328.2274,330.9472,63999946
2025-12-03,325.0481,327.1672,321.2652,324.2903,22880403
2025-12-04,322.4473,325.5388,321.4531,323.6904,19320269
2025-12-05,324.7571,325.7354,322.3888,323.3075,9996929
2025-12-08,325.2655,325.5428,323.8273,324.6706,12849000
2025-12-09,324.1811,330.4412,322.534,327.1841,49020308
2025-12-10,323.6621,327.3075,321.8932,324.4401,26281333
2025-12-11,326.9486,328.7521,325.0597,328.0468,35529239
2025-12-12,322.3663,324.6878,322.1975,322.6942,30690726
2025-12-15,321.3441,321.7761,317.6675,319.6807,54571495
2025-12-16,318.2401,320.1241,316.3358,318.9627,57220821
2025-12-17,313.463,315.2987,310.5932,313.4323,29890443
2025-12-18,309.9876,312.0544,307.3897,309.4374,39708093
2025-12-19,307.4151,311.1066,306.7242,308.3958,69461680
2025-12-22,305.1007,308.1045,303.8059,305.4687,31864559
2025-12-23,308.2341,310.1331,306.5907,306.9016,33436777
2025-12-24,309.0409,311.8741,306.7744,308.2963,26390591
2025-12-25,305.1586,308.8163,302.2257,307.7169,50139818
2025-12-26,303.2948,308.116,302.2144,305.5063,37347887
2025-12-29,301.1426,301.3073,299.0065,300.3277,54935438
2025-12-30,297.1711,300.1162,293.641,295.1848,20049923
2025-12-31,291.1366,293.6184,290.6778,292.0204,15977297
